Genel Sıra No;Genel Sıra No (Önceki Yıl);Kuruluş Adı;Yıl;Üretimden Satışlar (Net) (TL);Üretimden Satışlar - Kamu/Özel Sıra No;Net Satışlar (TL);Net Satışlar - Genel Sıra No;Net Satışlar - Kamu/Özel Sıra No;Brüt Katma Değer (TL);Brüt Katma Değer - Genel Sıra No;Brüt Katma Değer - Kamu/Özel Sıra No;Özkaynak (TL);Özkaynak - Genel Sıra No;Özkaynak - Kamu/Özel Sıra No;Aktif Toplamı (TL);Aktif Toplamı - Genel Sıra No;Aktif Toplamı - Kamu/Özel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) (TL);Dönem Karı/Zararı (Vergi Öncesi) - Genel Sıra No;Dönem Karı/Zararı (Vergi Öncesi) - Kamu/Özel Sıra No;FAVÖK (TL);FAVÖK - Genel Sıra No;FAVÖK - Kamu/Özel Sıra No;İhracat (Bin $);İhracat - Genel Sıra No;İhracat - Kamu/Özel Sıra No;Ücretle Çalışanlar Ortalaması (Kişi);Ücretle Çalışanlar Ortalaması - Genel Sıra No;Ücretle Çalışanlar Ortalaması - Kamu/Özel Sıra No;Bağlı Olduğu Oda;Sermaye Payı / Kamu;Sermaye Payı / Özel;Sermaye Payı / Yabancı;Sermaye Payı / Halka Açık;NACE;NACE Kodu;ISIC Sektör Tanımı;ISIC Kodu;Web Adresi;İl;İlçe;Adres;Telefon 1;Telefon 2;Eposta;Posta Kodu
121;145;Goodyear Lastikleri T.A.Ş.;2023;11.287.380.576;115;15.705.558.103;97;91;4.110.100.580;82;76;2.977.547.669;282;269;9.934.982.156;184;176;198.576.016;327;317;2.245.882.286;119;116;243.861;85;82;1.558;152;141;İstanbul Sanayi Odası;-;-;74,60;25,40;Kauçuk ve plastik ürünlerin imalatı;22;Lastik Ürünleri Sanayi;355;www.goodyear.eu/tr_tr;İstanbul;Sarıyer;Maslak Mah. Sümer Sok. Mob Binası No.4;(212) 3295145;(535) 2537151;yatirimci_iliskileri@goodyear.com;34485
122;406;Et ve Süt Kurumu Genel Müdürlüğü;2023;11.031.008.636;7;13.418.970.222;118;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kamu;100,00;-;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.esk.gov.tr;Ankara;Yenimahalle;Tarım ve Orman Bakanlığı Beştepe Kampüsü Beştepe Mah. Cumhurbaşkanlığı Bulvarı Alparslan Türkeş Cad. No.71 ;(312) 3048000;(312) 2843670;-;06530
123;169;Gedik Tavukçuluk ve Tarım Ürünleri Tic. San. A.Ş.;2023;10.948.582.718;116;11.240.289.599;144;135;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44.894;315;310;-;-;-;Uşak Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.gedikpilic.com;Uşak;Eşme;Kolankaya Köyü No.124;(276) 4131313;(507) 6449404;info@gedikpilic.com;64600
124;152;Altınmarka Gıda San. ve Tic. A.Ş.;2023;10.944.509.632;117;11.472.997.166;140;131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.altinmarka.com.tr;İstanbul;Esenyurt;Atatürk Mah. Gazi Cad. No.2;(212) 8866300;-;info@altinmarka.com.tr;34522
125;144;Öznur Kablo San. ve Tic. A.Ş.;2023;10.877.691.798;118;10.877.691.798;152;143;-;-;-;6.085.884.380;159;150;6.656.813.724;276;264;-;-;-;-;-;-;3.863;437;430;359;416;403;İstanbul Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.oznurkablo.com.tr;İstanbul;Beyoğlu;Ömer Avni Mah. Meclis-İ Mebusan Cad. Öznur Plaza No.73 Kabataş;(212) 2527734;-;muhasebe@oznurkablo.com.tr;34427
126;69;Akenerji Elektrik Üretim A.Ş.;2023;10.838.109.675;119;17.225.812.804;90;84;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;37,36;37,36;25,28;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.akenerji.com.tr;İstanbul;Beyoğlu;Miralay Şefik Bey Sok. Akhan No.15-17 Kat 3-4 Gümüşsuyu;(212) 2498282;-;info@akenerji.com.tr;34437
127;103;Ekinciler Demir ve Çelik Sanayi A.Ş.;2023;10.826.750.427;120;10.864.262.927;153;144;-;-;-;2.944.256.875;286;273;5.576.655.607;305;293;-;-;-;-;-;-;37.087;329;324;647;329;316;İstanbul Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.ekinciler.com;İstanbul;Sarıyer;Ayazağa Yolu No.7 Giz 2000 Plaza K.3 Maslak;(212) 2907676;-;ekdemir@ekinciler.com;34398
128;112;Tarım Kredi Yem San. ve Tic. A.Ş.;2023;10.729.249.836;121;10.967.258.511;151;142;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;0,42;99,58;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.tarimkrediyem.com.tr;Ankara;Çankaya;Söğütözü Mah. 2185 Cadde 20/F Kat:1 Çankaya-Ankara;(312) 2210340;-;tky.muhasebe@tarimkrediyem.com.tr;06490
129;115;Mega Metal San. ve Tic. A.Ş.;2023;10.611.448.349;122;11.470.322.977;142;133;1.643.328.907;226;215;4.103.066.779;221;208;7.916.589.518;239;229;314.188.885;290;280;1.311.455.737;203;197;225.818;93;90;698;313;300;Kayseri Sanayi Odası;-;76,32;-;23,68;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.megametal.com.tr;Kayseri;Melikgazi;Organize Sanayi Bölgesi 12. Cad. No.61;(212) 2435454;(352) 3220560;info@megametal.com.tr;38170
130;121;Betek Boya ve Kimya Sanayi A.Ş.;2023;10.528.724.551;123;11.099.919.104;146;137;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51.359;296;291;1.806;124;114;İstanbul Sanayi Odası;-;0,32;99,68;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Diğer Kimyasal Ürünler Sanayi;352;www.betek.com.tr;İstanbul;Maltepe;Zümrütevler Mah. Ural Sok. No.38;(216) 5711000;-;info@betek.com.tr;34852
131;89;Türkiye Kömür İşletmeleri Kurumu;2023;10.372.279.230;8;17.426.293.972;87;6;8.870.521.661;32;3;11.269.924.517;88;5;20.050.972.464;94;6;2.293.183.183;66;5;4.371.235.878;49;3;-;-;-;3.943;45;5;Kamu;100,00;-;-;-;Kömür ve linyit çıkartılması;05;"Madencilik ve Taşocakçılığı
";210;www.tki.gov.tr;Ankara;Yenimahalle;Gazi Mah. Hipodrom Cad. No.12;(312) 5401000;-;tkiadmin@tki.gov.tr;06330
132;136;Aves Enerji Yağ ve Gıda Sanayi A.Ş.;2023;10.300.860.198;124;15.086.438.023;101;95;1.085.410.840;321;309;4.306.367.533;211;198;10.334.710.608;177;169;266.429.705;301;291;1.328.193.853;199;193;89.272;223;220;562;352;339;Mersin Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.avesas.com;Mersin;Akdeniz;Toroslar Mah. Gizem Sok. No.19;(324) 2376900;(530) 0698874;info@avesas.com.tr;33070
133;95;Baymina Enerji A.Ş.;2023;10.152.351.225;125;10.152.351.225;159;149;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ankara Sanayi Odası;-;100,00;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.baymina.com;Ankara;Sincan;Malıköy Mah. Malıköy Küme Evleri No.506;(216) 3257330;(312) 6309100;info@baymina.com;06900
134;149;Eczacıbaşı Tüketim Ürünleri San. ve Tic. A.Ş.;2023;10.044.323.205;126;11.040.964.400;148;139;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;100,00;-;-;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.eczacibasituketim.com.tr;İstanbul;Beykoz;Rüzgarlı Bahçe Mah. Çam Pınarı Sok. No.3;(216) 3337100;-;info@eczacibasituketim.com;34805
135;157;Beyçelik Gestamp Otomotiv Sanayi A.Ş.;2023;10.036.781.287;127;11.410.398.787;143;134;-;-;-;4.762.875.614;197;186;11.103.005.323;165;157;-;-;-;-;-;-;62.130;280;276;2.322;96;86;Bursa Ticaret ve Sanayi Odası;-;50,00;50,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.beycelikgestamp.com.tr;Bursa;Nilüfer;Işıktepe Organize Sanayi Bölgesi Kahverengi Cad. No.21;(224) 2700600;(224) 2700618;beycelik@beycelikgestamp.com.tr;16140
136;91;Kipaş Mensucat İşletmeleri A.Ş.;2023;9.959.364.549;128;10.054.801.179;161;151;-;-;-;14.106.883.346;70;66;26.823.864.781;68;63;-;-;-;-;-;-;106.640;204;201;6.083;18;17;Kahramanmaraş Ticaret ve Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.kipas.com.tr;Kahramanmaraş;Dulkadiroğlu;Karacasu Karaziyaret Mah. Fatih Sultan Mehmet Cad. No.1/A;(344) 2363800;-;kipas@kipas.com.tr;46100
137;142;Maxion İnci Jant Sanayi A.Ş.;2023;9.947.695.685;129;10.027.169.975;162;152;-;-;-;3.885.654.369;231;218;5.768.716.959;299;287;-;-;-;-;-;-;235.323;90;87;1.337;175;164;Manisa Ticaret ve Sanayi Odası;-;40,00;60,00;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.maxionwheels.com;Manisa;Yunusemre;Organize Sanayi Bölgesi Mustafa Kemal Bulvarı No.2;(236) 2261600;(236) 2130077;info-inci@maxionwheels.com;45030
138;138;Mutlu Makarnacılık San. ve Tic. A.Ş.;2023;9.942.610.148;130;13.375.479.048;119;110;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Gaziantep Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.mutlumakarna.com.tr;Gaziantep;Şehitkamil;2. Organize Sanayi Bölgesi Muammer Güler Bulvarı No.44 Başpınar;(342) 3371884;-;info@mutlumakarna.com.tr;27120
139;154;Eczacıbaşı Yapı Gereçleri San. ve Tic. A.Ş.;2023;9.878.813.351;131;10.539.873.495;155;146;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;-;100,00;-;Diğer metalik olmayan mineral ürünlerin imalatı;23;Çanak, Çömlek, Çini, Porselen Sanayi;361;www.vitra.com.tr;İstanbul;Şişli;Büyükdere Cad. Ali Kaya Sok. No.5 Levent ;(212) 3508000;(212) 3508765;vitra@eczacibasi.com.tr;34394
140;190;Tusaş Motor Sanayii A.Ş.;2023;9.872.597.081;132;9.976.323.896;163;153;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;341.268;44;42;-;-;-;Eskişehir Sanayi Odası;-;53,78;46,22;-;Diğer ulaşım araçlarının imalatı;30;Taşıt Araçları Sanayi;384;www.tei.com.tr;Eskişehir;Tepebaşı;Esentepe Mah. Çevre Yolu Bulvarı No.356;(222) 2112100;(222) 2112269;info@tei.com.tr;26210
141;141;Indorama Ventures Corlu Pet Sanayi A.Ş.;2023;9.675.090.385;133;9.679.105.419;169;159;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Çorlu Ticaret ve Sanayi Odası;-;-;100,00;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.indoramaventures.com;Tekirdağ;Ergene;Karamehmet Mah. Avrupa Serbest Bölgesi 3. Sok. No.2;(282) 6911100;(532) 2468272;ivc_hr@tr.indorama.net;59930
142;-;Yeniköy Kemerköy Elektrik Üretim ve Ticaret A.Ş.;2023;9.632.617.044;134;9.877.396.108;164;154;-;-;-;-;-;-;74.446.841.047;20;18;-;-;-;-;-;-;-;-;-;-;-;-;Milas Ticaret ve Sanayi Odası;-;100,00;-;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.ykenerji.com.tr/tr;Muğla;Milas;Bağdamları Mah. Merkez Sok. No.160;(252) 5580290;(530) 0675707;info@ykenerji.com.tr;48200
143;205;Anadolu Isuzu Otomotiv San. ve Tic. A.Ş.;2023;9.557.637.655;135;11.887.694.282;135;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;143.831;144;141;1.464;158;147;İstanbul Sanayi Odası;-;55,82;29,73;14,45;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.isuzu.com.tr;Kocaeli;Çayırova;Şekerpınar Mah. Otomotiv Cad. No.2 ;(850) 2001583;(850) 2001587;anadoluisuzukurumsal@isuzu.com.tr;41435
144;167;Abalıoğlu Yem Sanayi A.Ş.;2023;9.503.769.213;136;9.844.865.409;165;155;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Denizli Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.abaliogluyem.com.tr;Denizli;Merkezefendi;Eskihisar Mah. Pamukkale Bulvarı No.2 A/1;(258) 2681870;(232) 4884131;yem.muhasebe@abaliogluyem.com.tr;20020
145;143;Seval Kablo Aydınlatma Cihazları İth. İhr. San. ve Tic. A.Ş.;2023;9.476.837.984;137;9.570.569.750;172;162;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Denizli Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.sevalkablo.com;Denizli;Merkezefendi;Hacı Eyüplü Mah. 3119 Sok. No.5;(258) 3714248;-;sevalkablo@sevalkablo.com;-
146;181;Federal Mogul Powertrain Otomotiv A.Ş.;2023;9.458.689.201;138;11.002.518.500;150;141;-;-;-;-;-;-;8.451.820.224;224;214;-;-;-;-;-;-;259.533;76;73;-;-;-;Kocaeli Sanayi Odası;-;50,00;50,00;-;Başka yerde sınıflandırılmamış makine ve ekipman imalatı;28;Makine Sanayi (Elektrikli Olanlar Hariç);382;www.federalmogul.com.tr;İstanbul;Beyoğlu;Levent Mah. Meltem Sok. İş Bankası Kuleleri No.14 İç Kapı No.19;(212) 2926313;-;info@tenneco.com;34330
147;160;Döktaş Dökümcülük Tic. ve San. A.Ş.;2023;9.450.629.368;139;9.806.948.335;166;156;-;-;-;1.415.151.252;398;385;8.608.348.258;221;211;-;-;-;2.152.634.522;128;125;279.103;67;65;3.021;71;63;Orhangazi Ticaret ve Sanayi Odası;-;90,01;-;9,99;Ana metal sanayii;24;Demir-Çelik Dışında Ana Metal Sanayi;372;www.doktas.com;Bursa;Orhangazi;Fatih Mah. Gölyolu Cad. No.26;(224) 5734263;-;doktas@doktas.com;16801
148;175;Hitachi Energy Turkey Elektrik Sanayi A.Ş.;2023;9.392.469.132;140;10.102.344.106;160;150;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;0,02;99,98;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.hitachienergy.com;İstanbul;Ümraniye;Dudullu OSB Mah. 2.Cad. No.16 Yukarı Dudullu;(850) 5281000;-;info@hitachienergy.com;34775
149;129;Kılıç Deniz Ürünleri Üretimi İhr. İth. ve Tic. A.Ş.;2023;9.391.966.774;141;10.299.949.891;158;148;-;-;-;-;-;-;14.671.337.533;129;122;-;-;-;2.715.173.997;93;90;257.321;77;74;2.530;85;76;Milas Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.kilicdeniz.com.tr;Muğla;Milas;Kemikler Köyü Mevkii Milas Bodrum Karayolu 18. km;(252) 5590283;-;info@kilicdeniz.com.tr;48200
150;131;BMC Otomotiv San. ve Tic. A.Ş.;2023;9.295.862.782;142;9.718.473.370;167;157;-;-;-;-;-;-;48.167.877.240;36;33;-;-;-;-;-;-;288.933;63;61;2.697;82;73;Ege Bölgesi Sanayi Odası;-;50,01;49,99;-;Motorlu kara taşıtı, treyler (römork) ve yarı treyler (yarı römork) imalatı;29;Taşıt Araçları Sanayi;384;www.bmc.com.tr;İzmir;Bornova;Kemalpaşa Cad. No.288 Pınarbaşı;(232) 4771800;(232) 4771800;info@bmc.com.tr;35060
151;99;RWE & Turcas Güney Elektrik Üretim A.Ş.;2023;9.274.188.940;143;9.275.801.604;176;166;212.367.976;475;462;10.111.012.446;96;90;11.560.822.787;160;152;348.632.570;281;271;-82.062.568;494;482;-;-;-;60;499;486;Denizli Sanayi Odası;-;30,16;69,84;-;Elektrik, gaz, buhar ve havalandırma sistemi üretim ve dağıtımı;35;"Elektrik Sektörü
";400;www.rwe.com.tr;Ankara;Çankaya;Kızılırmak Mah. Muhsin Yazıcıoğlu Cad. No.39/A Protokol Plaza Ofis No.108;(212) 3960047;(212) 3960000;info@rweturcas.com;06530
152;118;Oba Makarnacılık San. ve Tic. A.Ş.;2023;9.261.303.621;144;20.712.399.700;66;62;3.783.720.890;92;86;3.719.644.884;240;227;9.482.955.389;194;186;1.534.789.041;100;94;3.417.676.333;75;72;394.642;36;34;1.225;192;181;Gaziantep Sanayi Odası;-;70,00;30,00;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.obamakarna.com.tr;Gaziantep;Şehitkamil;4. Organize Sanayi Bölgesi 83422 Nolu Cad. No.1 Başpınar;(342) 3234600;-;oba@obamakarna.com.tr;27580
153;220;Anadolu Efes Biracılık ve Malt Sanayii A.Ş.;2023;9.225.124.642;145;9.447.368.445;173;163;17.657.889.898;14;13;102.766.342.112;7;5;128.845.746.178;12;10;6.727.296.872;24;21;-;-;-;35.216;337;332;1.147;207;196;İstanbul Sanayi Odası;-;43,05;24,00;32,95;İçeceklerin imalatı;11;İçki Sanayi (Alkollü ve Alkolsüz);313;www.anadoluefes.com;İstanbul;Ümraniye;Fatih Sultan Mehmet Mah. Balkan Cad. Buyaka E Blok No.58/24;(216) 5868000;(216) 5868001;anadoluefestr@tr.anadoluefes.com;34771
154;127;Prometeon Turkey Endüstriyel ve Ticari Lastikler A.Ş.;2023;9.207.812.384;146;11.058.918.059;147;138;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İstanbul Sanayi Odası;-;0,01;99,99;-;Kauçuk ve plastik ürünlerin imalatı;22;Lastik Ürünleri Sanayi;355;www.prometeon.com.tr;İstanbul;Şişli;Esentepe Mah. Büyükdere Cad. Bahar Sok. River Plaza No.13 Kat.13;(212) 3551500;(262) 3152000;info.tr@prometeon.com;34394
155;110;Gülsan Sentetik Dokuma San. ve Tic. A.Ş.;2023;9.138.549.604;147;9.398.857.163;174;164;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2.319;97;87;Gaziantep Sanayi Odası;-;100,00;-;-;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.gulsanholding.com;Gaziantep;Şehitkamil;Organize Sanayi Bölgesi 83102 Nolu Cad. No.16 Başpınar;(342) 3371180;-;info@gulsanholding.com;27180
156;156;Pro Yem San. ve Tic. A.Ş.;2023;9.001.884.847;148;10.789.978.136;154;145;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Karacabey Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.proyem.com;Bursa;Osmangazi;Panayır Mah. 602. Sok. No.14;(224) 9991200;-;proyem@proyem.com.tr;16250
157;158;Çimsa Çimento San. ve Tic. A.Ş.;2023;8.952.342.509;149;11.705.928.829;136;127;3.120.688.772;115;108;17.828.129.005;56;52;24.631.266.978;74;69;1.497.249.824;106;100;2.491.195.484;105;102;256.806;79;76;830;280;267;Mersin Ticaret ve Sanayi Odası;-;63,52;-;36,48;Diğer metalik olmayan mineral ürünlerin imalatı;23;Taş ve Toprağa Dayalı Diğer Sanayi;369;www.cimsa.com.tr;İstanbul;Ataşehir;Küçükbakkalköy Mah. Kayışdağı Cad. Allianz Tower No.1 Kat.23-24;(216) 6515300;(216) 6510385;cimsa@cimsa.com.tr;34673
158;165;Pınar Süt Mamülleri Sanayii A.Ş.;2023;8.947.369.534;150;8.954.175.647;185;175;907.883.058;362;350;3.568.544.108;251;238;8.189.733.886;232;222;-63.612.219;414;402;583.822.347;377;366;36.390;332;327;1.277;187;176;Ege Bölgesi Sanayi Odası;-;61,41;-;38,59;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.pinar.com.tr;İzmir;Bornova;Yunus Emre Mah. Kemalpaşa Cad. No.317 Pınarbaşı;(232) 4361515;(232) 4361515;info@pinarsut.com.tr;35060
159;87;İGSAŞ-İstanbul Gübre Sanayii A.Ş.;2023;8.916.046.233;151;22.962.888.688;56;53;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Kocaeli Sanayi Odası;-;100,00;-;-;Kimyasalların ve kimyasal ürünlerin imalatı;20;Ana Kimya Sanayi;351;www.igsas.com.tr;Kocaeli;Körfez;Güney Mah. Petrol Cad. No.27;(262) 3162200;-;igsas@igsas.com.tr;41780
160;231;Deva Holding A.Ş.;2023;8.847.671.964;152;8.893.720.194;187;177;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45.975;313;308;2.942;73;65;İstanbul Sanayi Odası;-;-;82,20;17,80;Temel eczacılık ürünlerinin ve eczacılığa ilişkin malzemelerin imalatı;21;Diğer Kimyasal Ürünler Sanayi;352;www.deva.com.tr;İstanbul;Küçükçekmece;Merkez Mah. Basın Ekspres Cad. No.1 Halkalı;(212) 6929292;-;deva@deva.com.tr;34303
161;109;Tosyalı Filmaşin ve İnşaat Demir Üretim Sanayi A.Ş.;2023;8.802.564.039;153;9.060.394.876;181;171;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;İskenderun Ticaret ve Sanayi Odası;-;100,00;-;-;Ana metal sanayii;24;Demir-Çelik Ana Metal Sanayi;371;www.toscelik.com.tr;Hatay;İskenderun;Sarıseki Mah. Organize Sanayi Bölgesi Necati Özsoy Cad. No.12;(326) 6562890;-;toscelik@toscelik.com.tr;31218
162;101;Mondi Turkey Oluklu Mukavva Kağıt ve Ambalaj Sanayi A.Ş.;2023;8.695.311.158;154;8.710.532.280;190;180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Ege Bölgesi Sanayi Odası;-;-;84,65;15,35;Kağıt ve kağıt ürünlerinin imalatı;17;Kağıt ve Kağıt Ürünleri Sanayi;341;www.mondigroup.com.tr;İzmir;Tire;Toki Mah. Hasan Tahsin Cad. No.28;(232) 5121156;(212) 4677300;info.turkey@mondigroup.com;35900
163;130;Kordsa Teknik Tekstil A.Ş.;2023;8.659.537.955;155;8.673.891.939;192;182;1.904.993.856;197;186;14.119.611.004;69;65;23.505.432.666;77;72;-1.982.209.936;482;470;709.935.594;341;330;272.469;68;66;1.697;134;124;Kocaeli Sanayi Odası;-;71,11;-;28,89;Tekstil ürünlerinin imalatı;13;Dokuma Sanayi;321;www.kordsaglobal.com;Kocaeli;İzmit;Alikahya Fatih Mah. Sanayici Cad. No.90;(262) 3167000;(216) 3001000;info@kordsa.com;41310
164;207;Keskinoğlu Tavukçuluk ve Damızlık İşletmeleri San. Tic. A.Ş.;2023;8.646.715.559;156;11.148.368.044;145;136;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Akhisar Ticaret ve Sanayi Odası;-;100,00;-;-;Gıda ürünlerinin imalatı;10;Gıda Maddeleri Sanayi;311;www.keskinoglu.com.tr;Manisa;Akhisar;Kayalıoğlu Mah. İstiklal Cad. No.140;(236) 4272572;-;info@keskinoglu.com.tr;45200
165;289;Balıkesir Elektromekanik Sanayi Tesisleri A.Ş.;2023;8.556.730.228;157;8.897.655.460;186;176;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;206.225;102;99;-;-;-;Balıkesir Sanayi Odası;-;100,00;-;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.besttransformer.com;Balıkesir;Altıeylül;Gümüşçeşme Mah. 252. Sok. No.1-13/A;(266) 2811070;(266) 2418200;best@besttransformer.com;10040
166;178;Renta Elektrikli Ev Aletleri San. ve Dış Tic. Ltd. Şti.;2023;8.353.501.183;158;8.738.565.996;189;179;2.094.108.853;175;166;10.489.269.064;93;87;15.137.314.594;125;118;388.307.324;270;261;1.116.313.179;236;229;304.261;58;56;1.745;129;119;Eskişehir Sanayi Odası;-;-;100,00;-;Elektrikli teçhizat imalatı;27;Elektrik Makineleri, Aletleri ve Cihazları Sanayi;383;www.hoover.com.tr;İstanbul;Ataşehir;Barbaros Mah. Begonya Sok. No.3/96 Nidakule Ataşehir Kuzey;(222) 2119000;(216) 4664242;accounting@hoover.com.tr;-
167;-;FNSS Savunma Sistemleri A.Ş.;2023;8.137.480.986;159;9.131.672.205;179;169;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.518;433;426;-;-;-;Ankara Sanayi Odası;-;51,00;49,00;-;Diğer ulaşım araçlarının imalatı;30;Taşıt Araçları Sanayi;384;www.fnss.com.tr;Ankara;Gölbaşı;Oğulbey Mah. Kumludere Cad. No.11;(312) 4974300;-;info@fnss.com.tr;06830
168;140;Esan Eczacıbaşı Endüstriyel Hammaddeler San. ve Tic. A.Ş.;2023;8.130.959.674;160;8.645.787.660;195;185;3.824.338.450;90;84;9.773.370.427;103;97;20.426.110.110;91;86;-440.362.059;449;437;2.654.021.196;97;94;286.970;64;62;1.312;182;171;İstanbul Sanayi Odası;-;100,00;-;-;Metal cevherleri madenciliği;07;"Madencilik ve Taşocakçılığı
";210;www.esan.com.tr;İstanbul;Maltepe;Girne Mah. Nehir Sok. No.1-3/33;(216) 5816400;(216) 5816453;esan@esan.com.tr;34852
169;-;Onsa Rafineri A.Ş.;2023;8.112.556.242;161;24.401.596.645;49;46;-35.253.672;485;472;1.225.573.036;417;404;3.245.035.879;419;406;21.787.066;391;380;81.363.162;485;473;85.537;233;230;63;498;485;İstanbul Sanayi Odası;-;100,00;-;-;Mücevherat, bijuteri eşyaları ve ilgili ürünlerin imalatı;32.1;"Diğer İmalat Sanayi
";390;www.onsarafineri.com          ;İstanbul;Esenyurt;Osmangazi Mah. 3117 Sok. No.3;(212) 8867100;(212) 8866924;muhasebe@onsa.com.tr;34538
