Yaş,İşten Ayrılma,İş Seyahati,Günlük Ücret,Departman,Evden Uzaklık,Eğitim Seviyesi,Eğitim Alanı,Çalışan Sayısı,Sicil No,Çevresel Memnuniyet,Cinsiyet,Saat Ücreti,İşe Katılım,İş Seviyesi,İş Rolü,İş Memnuniyeti,Medeni Durum,Aylık Gelir,Aylık Ücret,Daha Önce Çalışılan İşyeri Sayısı,Fazla Mesai,Ücret Artış Yüzdesi,Performans Skoru,İş Arkadaşlarından  Memnuniyeti,Standart Çalışma Saati,Hisse Seçeneği Seviyesi,Kıdem,Geçen Yıl Katılınan Eğitim Sayısı,İş-Yaşam Dengesi Skoru,Şirketteki Kıdemi,Mevcut Pozisyonda Geçen Yıl,Son Terfiden Bu Yana Geçen Yıl,Mevcut Yöneticiyle Geçen Yıl
36,Hayır,Seyahat Etmez,1105,Araştırma ve Geliştirme,24,4,Fen Bilimleri,1,419,2,Kadın,47,3,2,Laboratuvar Teknikeri,2,Evli,5674,6927,7,Hayır,15,3,3,80,1,11,3,3,9,8,0,8
32,Hayır,Seyrek Seyahat,906,Satış,7,3,Fen Bilimleri,1,420,4,Erkek,91,2,2,Satış Yöneticisi,3,Evli,5484,16985,1,Hayır,14,3,3,80,1,13,3,2,13,8,4,8
38,Hayır,Seyrek Seyahat,849,Araştırma ve Geliştirme,25,2,Fen Bilimleri,1,421,1,Kadın,81,2,3,Araştırma Direktörü,2,Evli,12061,26707,3,Hayır,17,3,3,80,1,19,2,3,10,8,0,1
58,Hayır,Seyahat Etmez,390,Araştırma ve Geliştirme,1,4,Fen Bilimleri,1,422,4,Erkek,32,1,2,Sağlık Temsilcisi,3,Boşanmış,5660,17056,2,Evet,13,3,4,80,1,12,2,3,5,3,1,2
31,Hayır,Seyrek Seyahat,691,Araştırma ve Geliştirme,5,4,Mühendislik,1,423,3,Erkek,86,3,1,Araştırma Bilimcisi,4,Evli,4821,10077,0,Evet,12,3,3,80,1,6,4,3,5,2,0,3
31,Hayır,Seyrek Seyahat,106,İnsan Kaynakları,2,3,İnsan Kaynakları,1,424,1,Erkek,62,2,2,İnsan Kaynakları,1,Evli,6410,17822,3,Hayır,12,3,4,80,0,9,1,3,2,2,1,0
45,Hayır,Sık Seyahat,1249,Araştırma ve Geliştirme,7,3,Fen Bilimleri,1,425,1,Erkek,97,3,3,Laboratuvar Teknikeri,1,Boşanmış,5210,20308,1,Hayır,18,3,1,80,1,24,2,3,24,9,9,11
31,Hayır,Seyrek Seyahat,192,Araştırma ve Geliştirme,2,4,Fen Bilimleri,1,426,3,Erkek,32,3,1,Araştırma Bilimcisi,4,Boşanmış,2695,7747,0,Evet,18,3,2,80,1,3,2,1,2,2,2,2
33,Hayır,Sık Seyahat,553,Araştırma ve Geliştirme,5,4,Fen Bilimleri,1,428,4,Kadın,74,3,3,Yönetici,2,Evli,11878,23364,6,Hayır,11,3,2,80,2,12,2,3,10,6,8,8
39,Hayır,Seyrek Seyahat,117,Araştırma ve Geliştirme,10,1,Tıp,1,429,3,Erkek,99,3,4,Yönetici,1,Evli,17068,5355,1,Evet,14,3,4,80,0,21,3,3,21,9,11,10
43,Hayır,Sık Seyahat,185,Araştırma ve Geliştirme,10,4,Fen Bilimleri,1,430,3,Kadın,33,3,1,Laboratuvar Teknikeri,4,Bekar,2455,10675,0,Hayır,19,3,1,80,0,9,5,3,8,7,1,7
49,Hayır,Seyrek Seyahat,1091,Araştırma ve Geliştirme,1,2,Mühendislik,1,431,3,Kadın,90,2,4,Sağlık Temsilcisi,3,Bekar,13964,17810,7,Evet,12,3,4,80,0,25,2,3,7,1,0,7
52,Evet,Seyrek Seyahat,723,Araştırma ve Geliştirme,8,4,Tıp,1,433,3,Erkek,85,2,2,Araştırma Bilimcisi,2,Evli,4941,17747,2,Hayır,15,3,1,80,0,11,3,2,8,2,7,7
27,Hayır,Seyrek Seyahat,1220,Araştırma ve Geliştirme,5,3,Fen Bilimleri,1,434,3,Kadın,85,3,1,Araştırma Bilimcisi,2,Bekar,2478,20938,1,Evet,12,3,2,80,0,4,2,2,4,3,1,2
32,Hayır,Seyrek Seyahat,588,Satış,8,2,Mühendislik,1,436,3,Kadın,65,2,2,Satış Yöneticisi,2,Evli,5228,24624,1,Evet,11,3,4,80,0,13,2,3,13,12,11,9
27,Hayır,Seyrek Seyahat,1377,Satış,2,3,Fen Bilimleri,1,437,4,Erkek,74,3,2,Satış Yöneticisi,3,Bekar,4478,5242,1,Evet,11,3,1,80,0,5,3,3,5,4,0,4
31,Hayır,Seyrek Seyahat,691,Satış,7,3,Pazarlama,1,438,4,Erkek,73,3,2,Satış Yöneticisi,4,Boşanmış,7547,7143,4,Hayır,12,3,4,80,3,13,3,3,7,7,1,7
32,Hayır,Seyrek Seyahat,1018,Araştırma ve Geliştirme,2,4,Tıp,1,439,1,Kadın,74,4,2,Araştırma Bilimcisi,4,Bekar,5055,10557,7,Hayır,16,3,3,80,0,10,0,2,7,7,0,7
28,Evet,Seyrek Seyahat,1157,Araştırma ve Geliştirme,2,4,Tıp,1,440,1,Erkek,84,1,1,Araştırma Bilimcisi,4,Evli,3464,24737,5,Evet,13,3,4,80,0,5,4,2,3,2,2,2
30,Hayır,Seyrek Seyahat,1275,Araştırma ve Geliştirme,28,2,Tıp,1,441,4,Kadın,64,3,2,Araştırma Bilimcisi,4,Evli,5775,11934,1,Hayır,13,3,4,80,2,11,2,3,10,8,1,9
31,Hayır,Sık Seyahat,798,Araştırma ve Geliştirme,7,2,Fen Bilimleri,1,442,3,Kadın,48,2,3,Üretim Direktörü,3,Evli,8943,14034,1,Hayır,24,4,1,80,1,10,2,3,10,9,8,9
39,Hayır,Sık Seyahat,672,Araştırma ve Geliştirme,7,2,Tıp,1,444,3,Erkek,54,2,5,Yönetici,4,Evli,19272,21141,1,Hayır,15,3,1,80,1,21,2,3,21,9,13,3
39,Evet,Seyrek Seyahat,1162,Satış,3,2,Tıp,1,445,4,Kadın,41,3,2,Satış Yöneticisi,3,Evli,5238,17778,4,Evet,18,3,1,80,0,12,3,2,1,0,0,0
33,Hayır,Sık Seyahat,508,Satış,10,3,Pazarlama,1,446,2,Erkek,46,2,2,Satış Yöneticisi,4,Bekar,4682,4317,3,Hayır,14,3,3,80,0,9,6,2,7,7,0,1
47,Hayır,Seyrek Seyahat,1482,Araştırma ve Geliştirme,5,5,Fen Bilimleri,1,447,4,Erkek,42,3,5,Araştırma Direktörü,3,Evli,18300,16375,4,Hayır,11,3,2,80,1,21,2,3,3,2,1,1
43,Hayır,Sık Seyahat,559,Araştırma ve Geliştirme,10,4,Fen Bilimleri,1,448,3,Kadın,82,2,2,Laboratuvar Teknikeri,3,Boşanmış,5257,6227,1,Hayır,11,3,2,80,1,9,3,4,9,7,0,0
27,Hayır,Seyahat Etmez,210,Satış,1,1,Pazarlama,1,449,3,Erkek,73,3,2,Satış Yöneticisi,2,Evli,6349,22107,0,Evet,13,3,4,80,1,6,0,3,5,4,1,4
54,Hayır,Sık Seyahat,928,Araştırma ve Geliştirme,20,4,Fen Bilimleri,1,450,4,Kadın,31,3,2,Araştırma Bilimcisi,3,Bekar,4869,16885,3,Hayır,12,3,4,80,0,20,4,2,4,3,0,3
43,Hayır,Seyrek Seyahat,1001,Araştırma ve Geliştirme,7,3,Fen Bilimleri,1,451,3,Kadın,43,3,3,Sağlık Temsilcisi,1,Evli,9985,9262,8,Hayır,16,3,1,80,1,10,1,2,1,0,0,0
45,Hayır,Seyrek Seyahat,549,Araştırma ve Geliştirme,8,4,Diğer,1,452,4,Erkek,75,3,2,Araştırma Bilimcisi,4,Evli,3697,9278,9,Hayır,14,3,1,80,2,12,3,3,10,9,9,8
40,Hayır,Seyrek Seyahat,1124,Satış,1,2,Tıp,1,453,2,Erkek,57,1,2,Satış Yöneticisi,4,Evli,7457,13273,2,Evet,22,4,3,80,3,6,2,2,4,3,0,2
29,Evet,Seyrek Seyahat,318,Araştırma ve Geliştirme,8,4,Diğer,1,454,2,Erkek,77,1,1,Laboratuvar Teknikeri,1,Evli,2119,4759,1,Evet,11,3,4,80,0,7,4,2,7,7,0,7
29,Hayır,Seyrek Seyahat,738,Araştırma ve Geliştirme,9,5,Diğer,1,455,2,Erkek,30,2,1,Laboratuvar Teknikeri,4,Bekar,3983,7621,0,Hayır,17,3,3,80,0,4,2,3,3,2,2,2
30,Hayır,Seyrek Seyahat,570,Satış,5,3,Pazarlama,1,456,4,Kadın,30,2,2,Satış Yöneticisi,3,Boşanmış,6118,5431,1,Hayır,13,3,3,80,3,10,2,3,10,9,1,2
27,Hayır,Seyrek Seyahat,1130,Satış,8,4,Pazarlama,1,458,2,Kadın,56,3,2,Satış Yöneticisi,2,Evli,6214,3415,1,Hayır,18,3,1,80,1,8,3,3,8,7,0,7
37,Hayır,Seyrek Seyahat,1192,Araştırma ve Geliştirme,5,2,Tıp,1,460,4,Erkek,61,3,2,Üretim Direktörü,4,Boşanmış,6347,23177,7,Hayır,16,3,3,80,2,8,2,2,6,2,0,4
38,Hayır,Seyrek Seyahat,343,Araştırma ve Geliştirme,15,2,Fen Bilimleri,1,461,3,Erkek,92,2,3,Araştırma Direktörü,4,Boşanmış,11510,15682,0,Evet,14,3,2,80,1,12,3,3,11,10,2,9
31,Hayır,Seyrek Seyahat,1232,Araştırma ve Geliştirme,7,4,Tıp,1,462,3,Kadın,39,3,3,Üretim Direktörü,4,Bekar,7143,25713,1,Evet,14,3,3,80,0,11,2,2,11,9,4,10
29,Hayır,Seyrek Seyahat,144,Satış,10,1,Pazarlama,1,463,4,Kadın,39,2,2,Satış Yöneticisi,2,Boşanmış,8268,11866,1,Evet,14,3,1,80,2,7,2,3,7,7,1,7
35,Hayır,Seyrek Seyahat,1296,Araştırma ve Geliştirme,5,4,Mühendislik,1,464,3,Erkek,62,3,3,Üretim Direktörü,2,Bekar,8095,18264,0,Hayır,13,3,4,80,0,17,5,3,16,6,0,13
23,Hayır,Seyrek Seyahat,1309,Araştırma ve Geliştirme,26,1,Fen Bilimleri,1,465,3,Erkek,83,3,1,Araştırma Bilimcisi,4,Boşanmış,2904,16092,1,Hayır,12,3,3,80,2,4,2,2,4,2,0,2
41,Hayır,Seyrek Seyahat,483,Araştırma ve Geliştirme,6,3,Tıp,1,466,4,Erkek,95,2,2,Üretim Direktörü,2,Bekar,6032,10110,6,Evet,15,3,4,80,0,8,3,3,5,4,1,2
47,Hayır,Sık Seyahat,1309,Satış,4,1,Tıp,1,467,2,Erkek,99,3,2,Satış Temsilcisi,3,Bekar,2976,25751,3,Hayır,19,3,1,80,0,5,3,3,0,0,0,0
42,Hayır,Seyrek Seyahat,810,Araştırma ve Geliştirme,23,5,Fen Bilimleri,1,468,1,Kadın,44,3,4,Araştırma Direktörü,4,Bekar,15992,15901,2,Hayır,14,3,2,80,0,16,2,3,1,0,0,0
29,Hayır,Seyahat Etmez,746,Satış,2,3,Fen Bilimleri,1,469,4,Erkek,61,3,2,Satış Yöneticisi,3,Evli,4649,16928,1,Hayır,14,3,1,80,1,4,3,2,4,3,0,2
42,Hayır,Seyrek Seyahat,544,İnsan Kaynakları,2,1,Mühendislik,1,470,3,Erkek,52,3,1,İnsan Kaynakları,3,Boşanmış,2696,24017,0,Evet,11,3,3,80,1,4,5,3,3,2,1,0
32,Hayır,Seyrek Seyahat,1062,Araştırma ve Geliştirme,2,3,Tıp,1,471,3,Kadın,75,3,1,Laboratuvar Teknikeri,2,Evli,2370,3956,1,Hayır,13,3,3,80,1,8,4,3,8,0,0,7
48,Hayır,Seyrek Seyahat,530,Satış,29,1,Tıp,1,473,1,Kadın,91,3,3,Yönetici,3,Evli,12504,23978,3,Hayır,21,4,2,80,1,15,3,1,0,0,0,0
37,Hayır,Seyrek Seyahat,1319,Araştırma ve Geliştirme,6,3,Tıp,1,474,3,Erkek,51,4,2,Araştırma Bilimcisi,1,Boşanmış,5974,17001,4,Evet,13,3,1,80,2,13,2,3,7,7,6,7
30,Hayır,Seyahat Etmez,641,Satış,25,2,Mühendislik,1,475,4,Kadın,85,3,2,Satış Yöneticisi,3,Evli,4736,6069,7,Evet,12,3,2,80,1,4,2,4,2,2,2,2
26,Hayır,Seyrek Seyahat,933,Satış,1,3,Fen Bilimleri,1,476,3,Erkek,57,3,2,Satış Yöneticisi,3,Evli,5296,20156,1,Hayır,17,3,2,80,1,8,3,3,8,7,7,7
42,Hayır,Seyrek Seyahat,1332,Araştırma ve Geliştirme,2,4,Diğer,1,477,1,Erkek,98,2,2,Sağlık Temsilcisi,4,Bekar,6781,17078,3,Hayır,23,4,2,80,0,14,6,3,1,0,0,0
21,Evet,Sık Seyahat,756,Satış,1,1,Mühendislik,1,478,1,Kadın,99,2,1,Satış Temsilcisi,2,Bekar,2174,9150,1,Evet,11,3,3,80,0,3,3,3,3,2,1,2
36,Hayır,Seyahat Etmez,845,Satış,1,5,Tıp,1,479,4,Kadın,45,3,2,Satış Yöneticisi,4,Bekar,6653,15276,4,Hayır,15,3,2,80,0,7,6,3,1,0,0,0
36,Hayır,Sık Seyahat,541,Satış,3,4,Tıp,1,481,1,Erkek,48,2,3,Satış Yöneticisi,4,Evli,9699,7246,4,Hayır,11,3,1,80,1,16,2,3,13,9,1,12
57,Hayır,Seyrek Seyahat,593,Araştırma ve Geliştirme,1,4,Tıp,1,482,4,Erkek,88,3,2,Sağlık Temsilcisi,3,Evli,6755,2967,2,Hayır,11,3,3,80,0,15,2,3,3,2,1,2
40,Hayır,Seyrek Seyahat,1171,Araştırma ve Geliştirme,10,4,Fen Bilimleri,1,483,4,Kadın,46,4,1,Laboratuvar Teknikeri,3,Evli,2213,22495,3,Evet,13,3,3,80,1,10,3,3,7,7,1,7
21,Hayır,Seyahat Etmez,895,Satış,9,2,Tıp,1,484,1,Erkek,39,3,1,Satış Temsilcisi,4,Bekar,2610,2851,1,Hayır,24,4,3,80,0,3,3,2,3,2,2,2
33,Evet,Seyrek Seyahat,350,Satış,5,3,Pazarlama,1,485,4,Kadın,34,3,1,Satış Temsilcisi,3,Bekar,2851,9150,1,Evet,13,3,2,80,0,1,2,3,1,0,0,0
37,Hayır,Seyrek Seyahat,921,Araştırma ve Geliştirme,10,3,Tıp,1,486,3,Kadın,98,3,1,Laboratuvar Teknikeri,1,Evli,3452,17663,6,Hayır,20,4,2,80,1,17,3,3,5,4,0,3
46,Hayır,Seyahat Etmez,1144,Araştırma ve Geliştirme,7,4,Tıp,1,487,3,Kadın,30,3,2,Üretim Direktörü,3,Evli,5258,16044,2,Hayır,14,3,3,80,0,7,2,4,1,0,0,0
41,Evet,Sık Seyahat,143,Satış,4,3,Pazarlama,1,488,1,Erkek,56,3,2,Satış Yöneticisi,2,Bekar,9355,9558,1,Hayır,18,3,3,80,0,8,5,3,8,7,7,7
50,Hayır,Seyrek Seyahat,1046,Araştırma ve Geliştirme,10,3,Mühendislik,1,491,4,Erkek,100,2,3,Sağlık Temsilcisi,4,Bekar,10496,2755,6,Hayır,15,3,4,80,0,20,2,3,4,3,1,3
40,Evet,Seyrek Seyahat,575,Satış,22,2,Pazarlama,1,492,3,Erkek,68,2,2,Satış Yöneticisi,3,Evli,6380,6110,2,Evet,12,3,1,80,2,8,6,3,6,4,1,0
31,Hayır,Seyrek Seyahat,408,Araştırma ve Geliştirme,9,4,Fen Bilimleri,1,493,3,Erkek,42,2,1,Araştırma Bilimcisi,2,Bekar,2657,7551,0,Evet,16,3,4,80,0,3,5,3,2,2,2,2
21,Evet,Seyrek Seyahat,156,Satış,12,3,Fen Bilimleri,1,494,3,Kadın,90,4,1,Satış Temsilcisi,2,Bekar,2716,25422,1,Hayır,15,3,4,80,0,1,0,3,1,0,0,0
29,Hayır,Seyrek Seyahat,1283,Araştırma ve Geliştirme,23,3,Fen Bilimleri,1,495,4,Erkek,54,3,1,Araştırma Bilimcisi,4,Bekar,2201,18168,9,Hayır,16,3,4,80,0,6,4,3,3,2,1,2
35,Hayır,Seyrek Seyahat,755,Araştırma ve Geliştirme,9,4,Fen Bilimleri,1,496,3,Erkek,97,2,2,Sağlık Temsilcisi,2,Bekar,6540,19394,9,Hayır,19,3,3,80,0,10,5,3,1,1,0,0
27,Hayır,Seyrek Seyahat,1469,Araştırma ve Geliştirme,1,2,Tıp,1,497,4,Erkek,82,3,1,Laboratuvar Teknikeri,2,Boşanmış,3816,17881,1,Hayır,11,3,2,80,1,5,2,3,5,2,0,4
28,Hayır,Seyrek Seyahat,304,Satış,9,4,Fen Bilimleri,1,498,2,Erkek,92,3,2,Satış Yöneticisi,4,Bekar,5253,20750,1,Hayır,16,3,4,80,0,7,1,3,7,5,0,7
49,Hayır,Seyrek Seyahat,1261,Araştırma ve Geliştirme,7,3,Diğer,1,499,2,Erkek,31,2,3,Sağlık Temsilcisi,3,Bekar,10965,12066,8,Hayır,24,4,3,80,0,26,2,3,5,2,0,0
51,Hayır,Seyrek Seyahat,1178,Satış,14,2,Fen Bilimleri,1,500,3,Kadın,87,3,2,Satış Yöneticisi,4,Evli,4936,14862,4,Hayır,11,3,3,80,1,18,2,2,7,7,0,7
36,Hayır,Seyrek Seyahat,329,Araştırma ve Geliştirme,2,3,Fen Bilimleri,1,501,4,Kadın,96,3,1,Araştırma Bilimcisi,3,Evli,2543,11868,4,Hayır,13,3,2,80,1,6,3,3,2,2,2,2
34,Evet,Seyahat Etmez,1362,Satış,19,3,Pazarlama,1,502,1,Erkek,67,4,2,Satış Yöneticisi,4,Bekar,5304,4652,8,Evet,13,3,2,80,0,9,3,2,5,2,0,4
55,Hayır,Seyrek Seyahat,1311,Araştırma ve Geliştirme,2,3,Fen Bilimleri,1,505,3,Kadın,97,3,4,Yönetici,4,Bekar,16659,23258,2,Evet,13,3,3,80,0,30,2,3,5,4,1,2
24,Hayır,Seyrek Seyahat,1371,Satış,10,4,Pazarlama,1,507,4,Kadın,77,3,2,Satış Yöneticisi,3,Boşanmış,4260,5915,1,Evet,12,3,4,80,1,5,2,4,5,2,0,3
30,Hayır,Seyrek Seyahat,202,Satış,2,1,Mühendislik,1,508,3,Erkek,72,3,1,Satış Temsilcisi,2,Evli,2476,17434,1,Hayır,18,3,1,80,1,1,3,3,1,0,0,0
26,Evet,Sık Seyahat,575,Araştırma ve Geliştirme,3,1,Mühendislik,1,510,3,Erkek,73,3,1,Araştırma Bilimcisi,1,Bekar,3102,6582,0,Hayır,22,4,3,80,0,7,2,3,6,4,0,4
22,Hayır,Seyrek Seyahat,253,Araştırma ve Geliştirme,11,3,Tıp,1,511,1,Kadın,43,3,1,Araştırma Bilimcisi,2,Evli,2244,24440,1,Hayır,13,3,4,80,1,2,1,3,2,1,1,2
36,Hayır,Seyrek Seyahat,164,Satış,2,2,Tıp,1,513,2,Erkek,61,2,3,Satış Yöneticisi,3,Evli,7596,3809,1,Hayır,13,3,2,80,2,10,2,3,10,9,9,0
30,Evet,Sık Seyahat,464,Araştırma ve Geliştirme,4,3,Mühendislik,1,514,3,Erkek,40,3,1,Araştırma Bilimcisi,4,Bekar,2285,3427,9,Evet,23,4,3,80,0,3,4,3,1,0,0,0
37,Hayır,Seyrek Seyahat,1107,Araştırma ve Geliştirme,14,3,Fen Bilimleri,1,515,4,Kadın,95,3,1,Laboratuvar Teknikeri,1,Boşanmış,3034,26914,1,Hayır,12,3,3,80,1,18,2,2,18,7,12,17
40,Hayır,Seyrek Seyahat,759,Satış,2,2,Pazarlama,1,516,4,Kadın,46,3,2,Satış Yöneticisi,2,Boşanmış,5715,22553,7,Hayır,12,3,3,80,2,8,5,3,5,4,1,3
42,Hayır,Seyrek Seyahat,201,Araştırma ve Geliştirme,1,4,Fen Bilimleri,1,517,2,Kadın,95,3,1,Laboratuvar Teknikeri,1,Boşanmış,2576,20490,3,Hayır,16,3,2,80,1,8,5,3,5,2,1,2
37,Hayır,Seyrek Seyahat,1305,Araştırma ve Geliştirme,10,4,Fen Bilimleri,1,518,3,Erkek,49,3,2,Üretim Direktörü,2,Bekar,4197,21123,2,Evet,12,3,4,80,0,18,2,2,1,0,0,1
43,Hayır,Seyrek Seyahat,982,Araştırma ve Geliştirme,12,3,Fen Bilimleri,1,520,1,Erkek,59,2,4,Araştırma Direktörü,2,Boşanmış,14336,4345,1,Hayır,11,3,3,80,1,25,3,3,25,10,3,9
40,Hayır,Seyrek Seyahat,555,Araştırma ve Geliştirme,2,3,Tıp,1,521,2,Kadın,78,2,2,Laboratuvar Teknikeri,3,Evli,3448,13436,6,Hayır,22,4,2,80,1,20,3,3,1,0,0,0
54,Hayır,Seyrek Seyahat,821,Araştırma ve Geliştirme,5,2,Tıp,1,522,1,Erkek,86,3,5,Araştırma Direktörü,1,Evli,19406,8509,4,Hayır,11,3,3,80,1,24,4,2,4,2,1,2
34,Hayır,Seyahat Etmez,1381,Satış,4,4,Pazarlama,1,523,3,Kadın,72,3,2,Satış Yöneticisi,3,Evli,6538,12740,9,Hayır,15,3,1,80,1,6,3,3,3,2,1,2
31,Hayır,Seyrek Seyahat,480,Araştırma ve Geliştirme,7,2,Tıp,1,524,2,Kadın,31,3,2,Üretim Direktörü,1,Evli,4306,4156,1,Hayır,12,3,2,80,1,13,5,1,13,10,3,12
43,Hayır,Sık Seyahat,313,Araştırma ve Geliştirme,21,3,Tıp,1,525,4,Erkek,61,3,1,Laboratuvar Teknikeri,4,Evli,2258,15238,7,Hayır,20,4,1,80,1,8,1,3,3,2,1,2
43,Hayır,Seyrek Seyahat,1473,Araştırma ve Geliştirme,8,4,Diğer,1,526,3,Kadın,74,3,2,Sağlık Temsilcisi,3,Boşanmış,4522,2227,4,Evet,14,3,4,80,0,8,3,3,5,2,0,2
25,Hayır,Seyrek Seyahat,891,Satış,4,2,Fen Bilimleri,1,527,2,Kadın,99,2,2,Satış Yöneticisi,4,Bekar,4487,12090,1,Evet,11,3,2,80,0,5,3,3,5,4,1,3
37,Hayır,Seyahat Etmez,1063,Araştırma ve Geliştirme,25,5,Tıp,1,529,2,Kadın,72,3,2,Araştırma Bilimcisi,3,Evli,4449,23866,3,Evet,15,3,1,80,2,15,2,3,13,11,10,7
31,Hayır,Seyrek Seyahat,329,Araştırma ve Geliştirme,1,2,Fen Bilimleri,1,530,4,Erkek,98,2,1,Laboratuvar Teknikeri,1,Evli,2218,16193,1,Hayır,12,3,3,80,1,4,3,3,4,2,3,2
39,Hayır,Sık Seyahat,1218,Araştırma ve Geliştirme,1,1,Fen Bilimleri,1,531,2,Erkek,52,3,5,Yönetici,3,Boşanmış,19197,8213,1,Evet,14,3,3,80,1,21,3,3,21,8,1,6
56,Hayır,Sık Seyahat,906,Satış,6,3,Fen Bilimleri,1,532,3,Kadın,86,4,4,Satış Yöneticisi,1,Evli,13212,18256,9,Hayır,11,3,4,80,3,36,0,2,7,7,7,7
30,Hayır,Seyrek Seyahat,1082,Satış,12,3,Mühendislik,1,533,2,Kadın,83,3,2,Satış Yöneticisi,3,Bekar,6577,19558,0,Hayır,11,3,2,80,0,6,6,3,5,4,4,4
41,Hayır,Seyrek Seyahat,645,Satış,1,3,Pazarlama,1,534,2,Erkek,49,4,3,Satış Yöneticisi,1,Evli,8392,19566,1,Hayır,16,3,3,80,1,10,2,3,10,7,0,7
28,Hayır,Seyrek Seyahat,1300,Araştırma ve Geliştirme,17,2,Tıp,1,536,3,Erkek,79,3,2,Laboratuvar Teknikeri,1,Boşanmış,4558,13535,1,Hayır,12,3,4,80,1,10,2,3,10,0,1,8
25,Evet,Seyrek Seyahat,688,Araştırma ve Geliştirme,3,3,Tıp,1,538,1,Erkek,91,3,1,Laboratuvar Teknikeri,1,Evli,4031,9396,5,Hayır,13,3,3,80,1,6,5,3,2,2,0,2
52,Hayır,Seyrek Seyahat,319,Araştırma ve Geliştirme,3,3,Tıp,1,543,4,Erkek,39,2,3,Üretim Direktörü,3,Evli,7969,19609,2,Evet,14,3,3,80,0,28,4,3,5,4,0,4
45,Hayır,Seyrek Seyahat,192,Araştırma ve Geliştirme,10,2,Fen Bilimleri,1,544,1,Erkek,69,3,1,Araştırma Bilimcisi,4,Evli,2654,9655,3,Hayır,21,4,4,80,2,8,3,2,2,2,0,2
52,Hayır,Seyrek Seyahat,1490,Araştırma ve Geliştirme,4,2,Fen Bilimleri,1,546,4,Kadın,30,3,4,Yönetici,4,Evli,16555,10310,2,Hayır,13,3,4,80,0,31,2,1,5,2,1,4
42,Hayır,Sık Seyahat,532,Araştırma ve Geliştirme,29,2,Fen Bilimleri,1,547,1,Kadın,92,3,2,Araştırma Bilimcisi,3,Boşanmış,4556,12932,2,Hayır,11,3,2,80,1,19,3,3,5,4,0,2
30,Hayır,Seyrek Seyahat,317,Araştırma ve Geliştirme,2,3,Fen Bilimleri,1,548,3,Kadın,43,1,2,Üretim Direktörü,4,Bekar,6091,24793,2,Hayır,20,4,3,80,0,11,2,3,5,4,0,2
60,Hayır,Seyrek Seyahat,422,Araştırma ve Geliştirme,7,3,Fen Bilimleri,1,549,1,Kadın,41,3,5,Yönetici,1,Evli,19566,3854,5,Hayır,11,3,4,80,0,33,5,1,29,8,11,10
46,Hayır,Seyrek Seyahat,1485,Araştırma ve Geliştirme,18,3,Tıp,1,550,3,Kadın,87,3,2,Üretim Direktörü,3,Boşanmış,4810,26314,2,Hayır,14,3,3,80,1,19,5,2,10,7,0,8
42,Hayır,Sık Seyahat,1368,Araştırma ve Geliştirme,28,4,Mühendislik,1,551,4,Kadın,88,2,2,Sağlık Temsilcisi,4,Evli,4523,4386,0,Hayır,11,3,4,80,3,7,4,4,6,5,0,4
24,Evet,Seyrek Seyahat,1448,Satış,1,1,Mühendislik,1,554,1,Kadın,62,3,1,Satış Temsilcisi,2,Bekar,3202,21972,1,Evet,16,3,2,80,0,6,4,3,5,3,1,4
34,Evet,Sık Seyahat,296,Satış,6,2,Pazarlama,1,555,4,Kadın,33,1,1,Satış Temsilcisi,3,Boşanmış,2351,12253,0,Hayır,16,3,4,80,1,3,3,2,2,2,1,0
38,Hayır,Sık Seyahat,1490,Araştırma ve Geliştirme,2,2,Fen Bilimleri,1,556,4,Erkek,42,3,1,Laboratuvar Teknikeri,4,Evli,1702,12106,1,Evet,23,4,3,80,1,1,3,3,1,0,0,0
40,Hayır,Seyrek Seyahat,1398,Satış,2,4,Fen Bilimleri,1,558,3,Kadın,79,3,5,Yönetici,3,Evli,18041,13022,0,Hayır,14,3,4,80,0,21,2,3,20,15,1,12
26,Hayır,Seyrek Seyahat,1349,Araştırma ve Geliştirme,23,3,Fen Bilimleri,1,560,1,Kadın,90,3,1,Araştırma Bilimcisi,4,Boşanmış,2886,3032,1,Hayır,22,4,2,80,2,3,3,1,3,2,0,2
30,Hayır,Seyahat Etmez,1400,Araştırma ve Geliştirme,3,3,Fen Bilimleri,1,562,3,Erkek,53,3,1,Laboratuvar Teknikeri,4,Evli,2097,16734,4,Hayır,15,3,3,80,1,9,3,1,5,3,1,4
29,Hayır,Seyrek Seyahat,986,Araştırma ve Geliştirme,3,4,Tıp,1,564,2,Erkek,93,2,3,Araştırma Direktörü,3,Evli,11935,21526,1,Hayır,18,3,3,80,0,10,2,3,10,2,0,7
29,Evet,Seyrek Seyahat,408,Araştırma ve Geliştirme,25,5,Mühendislik,1,565,3,Kadın,71,2,1,Araştırma Bilimcisi,2,Evli,2546,18300,5,Hayır,16,3,2,80,0,6,2,4,2,2,1,1
19,Evet,Seyrek Seyahat,489,İnsan Kaynakları,2,2,Mühendislik,1,566,1,Erkek,52,2,1,İnsan Kaynakları,4,Bekar,2564,18437,1,Hayır,12,3,3,80,0,1,3,4,1,0,0,0
30,Hayır,Seyahat Etmez,1398,Satış,22,4,Diğer,1,567,3,Kadın,69,3,3,Satış Yöneticisi,1,Evli,8412,2890,0,Hayır,11,3,3,80,0,10,3,3,9,8,7,8
